month,Germany,Sweden,Total
01/01/2008,3055,3220,20340
01/02/2008,2400,2245,18635
01/03/2008,2030,1680,17360
01/04/2008,2230,1880,19030
01/05/2008,2035,1780,19115
01/06/2008,2125,1655,19885
01/07/2008,2225,1920,22765
01/08/2008,2040,1975,22795
01/09/2008,2450,2205,25420
01/10/2008,2370,2270,26435
01/11/2008,2100,1900,22760
01/12/2008,1880,2140,22920
01/01/2009,2900,1940,25780
01/02/2009,2530,1675,24515
01/03/2009,2630,1735,25625
01/04/2009,2365,1565,23985
01/05/2009,2380,1595,23010
01/06/2009,2470,1885,24535
01/07/2009,3100,2055,25610
01/08/2009,2920,2395,24110
01/09/2009,3155,2205,25800
01/10/2009,3115,2330,27310
01/11/2009,2950,2405,25935
01/12/2009,2515,2475,23730
01/01/2010,3095,2235,20935
01/02/2010,2905,2330,22610
01/03/2010,3360,3580,25230
01/04/2010,2945,2160,20285
01/05/2010,2760,1890,20185
01/06/2010,3390,1915,21820
01/07/2010,3840,1915,21775
01/08/2010,4675,2755,24645
01/09/2010,5605,3890,27630
01/10/2010,6090,4205,29835
01/11/2010,5650,2835,27330
01/12/2010,4280,2230,24340
01/01/2011,4435,1970,24560
01/02/2011,3830,1965,24495
01/03/2011,4185,2310,28245
01/04/2011,3445,2040,25340
01/05/2011,3965,2375,31830
01/06/2011,3675,1960,28955
01/07/2011,4030,2065,28740
01/08/2011,4620,2575,29225
01/09/2011,4995,2800,31175
01/10/2011,5195,3040,31050
01/11/2011,5905,3115,30315
01/12/2011,5065,3495,28980
01/01/2012,5530,2720,28360
01/02/2012,4720,2375,25935
01/03/2012,4490,2475,26780
01/04/2012,4105,2450,24935
01/05/2012,4395,3255,27505
01/06/2012,4940,3100,28255
01/07/2012,5650,4115,32160
01/08/2012,6835,4360,33130
01/09/2012,8755,4915,35475
01/10/2012,12475,5515,44230
01/11/2012,10180,4570,37810
01/12/2012,5585,4095,30055
01/01/2013,8400,3805,33285
01/02/2013,6845,2965,29825
01/03/2013,6535,2970,32190
01/04/2013,8745,3060,36280
01/05/2013,8600,3085,36785
01/06/2013,9745,2980,39095
01/07/2013,11390,4130,42305
01/08/2013,11575,4810,39795
01/09/2013,14050,7770,45365
01/10/2013,15645,7915,49900
01/11/2013,14440,5545,43570
01/12/2013,11020,5330,37365
01/01/2014,14945,4455,43595
01/02/2014,11670,4110,37515
01/03/2014,11710,4410,39720
01/04/2014,11900,4855,41725
01/05/2014,12970,6015,45930
01/06/2014,14695,8075,50035
01/07/2014,20945,9395,62605
01/08/2014,18715,8880,58925
01/09/2014,20115,9975,71350
01/10/2014,22265,8195,72770
01/11/2014,22510,6010,67530
01/12/2014,20375,6955,71575
01/01/2015,26885,4895,70175
01/02/2015,27705,4050,74575
01/03/2015,33880,4120,70585
01/04/2015,28735,3920,66780
01/05/2015,27610,5375,76455
01/06/2015,37045,6625,100765
01/07/2015,39830,8070,127750
01/08/2015,39490,11745,153330
01/09/2015,47185,24265,180320
01/10/2015,60360,39060,185340
01/11/2015,59615,36595,172525
01/12/2015,48275,13840,114705
