to,from,values,decision
CHE,AFG,355,rejected
CHE,ALB,140,rejected
CHE,ERI,980,rejected
CHE,IRQ,135,rejected
CHE,SRB,150,rejected
CHE,SYR,145,rejected
CHE,KOS,325,rejected
DEU,AFG,1075,rejected
DEU,ALB,19865,rejected
DEU,ERI,250,rejected
DEU,IRQ,140,rejected
DEU,SRB,24765,rejected
DEU,SYR,2765,rejected
DEU,KOS,24630,rejected
FRA,AFG,115,rejected
FRA,ALB,3110,rejected
FRA,ERI,380,rejected
FRA,IRQ,40,rejected
FRA,SRB,320,rejected
FRA,SYR,105,rejected
FRA,KOS,4140,rejected
ITA,AFG,80,rejected
ITA,ALB,105,rejected
ITA,ERI,90,rejected
ITA,IRQ,35,rejected
ITA,SRB,25,rejected
ITA,SYR,40,rejected
ITA,KOS,45,rejected
NLD,AFG,340,rejected
NLD,ALB,155,rejected
NLD,ERI,250,rejected
NLD,IRQ,305,rejected
NLD,SRB,180,rejected
NLD,SYR,515,rejected
NLD,KOS,210,rejected
SWE,AFG,385,rejected
SWE,ALB,1490,rejected
SWE,ERI,80,rejected
SWE,IRQ,380,rejected
SWE,SRB,890,rejected
SWE,SYR,95,rejected
SWE,KOS,1280,rejected
GBR,AFG,1355,rejected
GBR,ALB,1475,rejected
GBR,ERI,1480,rejected
GBR,IRQ,885,rejected
GBR,SRB,10,rejected
GBR,SYR,325,rejected
GBR,KOS,40,rejected
CHE,AFG,1025,positive
CHE,ALB,20,positive
CHE,ERI,4870,positive
CHE,IRQ,260,positive
CHE,SRB,65,positive
CHE,SYR,3640,positive
CHE,KOS,150,positive
DEU,AFG,2725,positive
DEU,ALB,50,positive
DEU,ERI,3480,positive
DEU,IRQ,11495,positive
DEU,SRB,40,positive
DEU,SYR,54970,positive
DEU,KOS,105,positive
FRA,AFG,650,positive
FRA,ALB,425,positive
FRA,ERI,365,positive
FRA,IRQ,2565,positive
FRA,SRB,150,positive
FRA,SYR,3035,positive
FRA,KOS,580,positive
ITA,AFG,2875,positive
ITA,ALB,85,positive
ITA,ERI,630,positive
ITA,IRQ,595,positive
ITA,SRB,55,positive
ITA,SYR,300,positive
ITA,KOS,45,positive
NLD,AFG,350,positive
NLD,ALB,0,positive
NLD,ERI,3270,positive
NLD,IRQ,210,positive
NLD,SRB,5,positive
NLD,SYR,7165,positive
NLD,KOS,0,positive
SWE,AFG,1155,positive
SWE,ALB,30,positive
SWE,ERI,7180,positive
SWE,IRQ,525,positive
SWE,SRB,15,positive
SWE,SYR,16600,positive
SWE,KOS,80,positive
GBR,AFG,825,positive
GBR,ALB,390,positive
GBR,ERI,2285,positive
GBR,IRQ,325,positive
GBR,SRB,0,positive
GBR,SYR,2125,positive
GBR,KOS,0,positive
